what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470025632476
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470025632523
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1470025656923
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470025682883
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470025824629
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470025826401
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470025867986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470025898767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470025919739
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1470025933471
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470025938499
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470025940313
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470025950967
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1470025953396
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470025954983
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470025955944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470025958889
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470025959017
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1470026002852
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1470026017719
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470026019107
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1470026022805
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1470026024411
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470026033350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470026327607
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470026328787
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470026367669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470026369485
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470026538715
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470026541728
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470026555422
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470026561219
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470026657495
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1470026690162
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470026697556
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470026697588
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1470026708586
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470026708648
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470026710645
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470026715919
